company_name,high,low,last_price,prev_close,change,percent_gain
Swiggy,415.70,402.30,413.80,407.10,6.70,1.65
Railtel,386.20,376.40,384.35,378.15,6.20,1.64
GNFC,548.00,528.00,540.00,531.35,8.65,1.63
SJVN,96.49,94.14,96.16,94.63,1.53,1.62
Cohance Life,"1,020.00",983.50,"1,011.55",995.45,16.10,1.62
BHEL,241.60,234.25,240.55,236.75,3.80,1.61
Gujarat Fluoro,"3,563.90","3,450.00","3,536.30","3,480.30",56.00,1.61
Balkrishna Ind,"2,750.00","2,668.70","2,735.60","2,692.90",42.70,1.59
Eicher Motors,"5,484.00","5,353.00","5,470.50","5,386.00",84.50,1.57
INDUS TOWERS,392.30,381.95,390.55,384.60,5.95,1.55
Suzlon Energy,62.61,59.95,61.79,60.85,0.94,1.54
BSE Limited,"2,500.00","2,438.00","2,487.10","2,449.90",37.20,1.52
Page Industries,"47,400.00","46,220.00","47,215.00","46,510.00",705.00,1.52
Zydus Life,997.95,980.55,994.85,980.10,14.75,1.5
Rashtriya Chem,153.89,148.20,152.48,150.22,2.26,1.5
Thermax,"3,794.00","3,691.30","3,778.60","3,722.70",55.90,1.5
Bharti Airtel,"1,923.60","1,880.00","1,918.30","1,890.30",28.00,1.48
IFCI,59.85,57.12,59.00,58.15,0.85,1.46
R R Kabel,"1,406.70","1,356.60","1,389.50","1,369.60",19.90,1.45
Adani Ports,"1,398.70","1,373.60","1,395.90","1,376.00",19.90,1.45
Welspun Living,136.80,132.56,136.26,134.32,1.94,1.44
Rail Vikas,362.00,352.00,359.50,354.45,5.05,1.42
Coal India,384.25,376.95,383.65,378.35,5.30,1.4
Divis Labs,"6,688.00","6,473.00","6,676.50","6,584.00",92.50,1.4
MCX India,"7,864.50","7,614.00","7,839.50","7,731.50",108.00,1.4
Patanjali Foods,"1,898.50","1,842.60","1,887.10","1,861.30",25.80,1.39
Sundram,"1,010.00",978.80,"1,004.90",991.20,13.70,1.38
Tata Motors,694.00,680.60,692.35,682.90,9.45,1.38
Tata Motors,694.00,680.60,692.35,682.90,9.45,1.38
Apollo Hospital,"7,469.00","7,310.50","7,456.00","7,356.50",99.50,1.35
Adani Energy,830.55,800.35,826.95,815.95,11.00,1.35
LIC Housing Fin,599.10,584.80,598.25,590.30,7.95,1.35
Power Finance,411.50,401.35,410.60,405.15,5.45,1.35
JK Bank,107.12,103.40,106.17,104.77,1.40,1.34
Max Healthcare,"1,278.00","1,251.00","1,274.30","1,257.40",16.90,1.34
Saregama India,482.00,466.10,480.70,474.40,6.30,1.33
JBM Auto,650.00,633.20,647.15,638.80,8.35,1.31
GAIL,185.34,178.20,182.98,180.63,2.35,1.3
Alembic Pharma,"1,023.80",987.60,"1,013.20","1,000.40",12.80,1.28
Indiamart Inter,"2,598.70","2,525.00","2,588.90","2,556.30",32.60,1.28
Kalyan Jeweller,607.10,591.05,604.40,596.85,7.55,1.26
Tata Steel,162.45,158.20,161.69,159.68,2.01,1.26
Avenue Supermar,"4,007.10","3,931.00","3,999.00","3,949.90",49.10,1.24
Hind Zinc,438.00,430.60,437.40,432.05,5.35,1.24
Fert and Chem,950.70,920.20,943.25,931.75,11.50,1.23
Jyoti CNC Auto,"1,038.60","1,002.20","1,032.20","1,019.70",12.50,1.23
Lupin,"1,987.00","1,947.70","1,984.60","1,960.50",24.10,1.23
JK Tyre Ind,344.50,335.10,343.55,339.50,4.05,1.19
Adani Green Ene,"1,022.90",993.50,"1,015.60","1,003.90",11.70,1.17
Sun TV Network,575.75,561.65,574.20,567.55,6.65,1.17
MM Financial,252.45,246.35,251.95,249.05,2.90,1.16
Tata Tech,709.50,696.20,707.40,699.30,8.10,1.16
HDFC AMC,"5,673.00","5,517.50","5,627.50","5,563.50",64.00,1.15
Capri Global,182.45,175.05,181.18,179.18,2.00,1.12
Capri Global,182.45,175.05,181.18,179.18,2.00,1.12
Himadri Special,492.50,478.40,486.50,481.10,5.40,1.12
CDSL,"1,550.70","1,516.20","1,539.70","1,522.80",16.90,1.11
Voltas,"1,340.00","1,308.60","1,335.10","1,320.50",14.60,1.11
NMDC,71.95,70.37,71.80,71.02,0.78,1.1
Tata Inv Corp,"6,787.00","6,590.50","6,717.50","6,646.50",71.00,1.07
LT Technology,"4,309.00","4,171.80","4,287.20","4,242.10",45.10,1.06
Sona BLW,471.95,463.20,470.50,465.55,4.95,1.06
MRF,"150,220.00","148,015.00","149,355.00","147,805.00","1,550.00",1.05
Maruti Suzuki,"12,507.00","12,268.00","12,469.00","12,340.00",129.00,1.05
NALCO,189.90,186.01,189.68,187.70,1.98,1.05
Zensar Tech,815.00,786.60,808.45,800.10,8.35,1.04
Jubilant Food,658.00,640.25,652.65,645.95,6.70,1.04
MMTC,66.98,64.30,66.01,65.34,0.67,1.03
Ola Electric,42.34,40.92,41.71,41.29,0.42,1.02
Adani Enterpris,"2,557.40","2,507.50","2,547.90","2,522.30",25.60,1.01
IRFC,132.76,130.38,132.22,130.92,1.30,0.99
Linde India,"6,590.00","6,434.50","6,565.00","6,501.00",64.00,0.98
J. K. Cement,"6,597.00","6,400.00","6,502.00","6,439.00",63.00,0.98
NBCC (India),110.05,107.15,109.57,108.51,1.06,0.98
RBL Bank,257.05,250.68,255.75,253.26,2.49,0.98
PVR INOX,991.85,966.95,988.15,978.70,9.45,0.97
Dr Reddys Labs,"1,302.00","1,282.80","1,299.80","1,287.40",12.40,0.96
Dr Reddys Labs,"1,302.00","1,282.80","1,299.80","1,287.40",12.40,0.96
IGL,208.26,202.70,205.95,204.00,1.95,0.96
Bombay Burmah,"1,983.80","1,925.00","1,939.40","1,921.50",17.90,0.93
LIC India,902.95,886.65,899.05,890.80,8.25,0.93
Angel One,"2,649.00","2,580.00","2,632.10","2,608.00",24.10,0.92
HINDPETRO,426.60,419.45,425.80,421.90,3.90,0.92
HUDCO,217.30,212.36,216.36,214.39,1.97,0.92
Navin Fluorine,"5,164.50","5,070.00","5,148.80","5,102.50",46.30,0.91
Tata Elxsi,"6,106.50","5,977.50","6,090.50","6,035.50",55.00,0.91
Westlife Food,779.15,736.25,760.80,754.00,6.80,0.9
JSW Energy,526.35,515.20,524.80,520.10,4.70,0.9
